//<Creator>Application Administrator (admin)</Creator>
//<CreateTime>2021-02-01T10:25:17</CreateTime>
//<DataField>Ocean</DataField>
//<DataType>Profiles</DataType>
//<Method>Particle abundance and volume from the Underwater Vision Profiler. The Underwater Video Profiler is designed for the quantification of particles and of large zooplankton in the water column. Light reflected by undisturbed target objects forms a dark-field image.</Method>
//<Owner1>My DO Name(doname@test.com)</Owner1>
Cruise:METAVAR:TEXT:40;Site:METAVAR:TEXT:20;Station:METAVAR:TEXT:20;DataOwner:METAVAR:TEXT:20;Rawfilename:METAVAR:TEXT:20;Instrument:METAVAR:TEXT:10;SN:METAVAR:TEXT:10;CTDrosettefilename:METAVAR:TEXT:40;yyyy-mm-dd hh:mm:METAVAR:TEXT:40;Latitude [degrees_north]:METAVAR:DOUBLE;Longitude [degrees_east]:METAVAR:DOUBLE;Depth [m]:PRIMARYVAR:DOUBLE;Sampled volume [L];living  [# m-3];Eukaryota(living)  [# m-3];Harosa(Eukaryota)  [# m-3];Rhizaria(Harosa)  [# m-3];Retaria(Rhizaria)  [# m-3];Acantharea(Retaria)  [# m-3];Polycystinea(Retaria)  [# m-3];Collodaria(Polycystinea)  [# m-3];solitaryblack(Collodaria)  [# m-3];solitarygrey(Collodaria)  [# m-3];living biovolume  [mm3 l-1];Eukaryota(living) biovolume  [mm3 l-1];Harosa(Eukaryota) biovolume  [mm3 l-1];Rhizaria(Harosa) biovolume  [mm3 l-1];Retaria(Rhizaria) biovolume  [mm3 l-1];Acantharea(Retaria) biovolume  [mm3 l-1];Polycystinea(Retaria) biovolume  [mm3 l-1];Collodaria(Polycystinea) biovolume  [mm3 l-1];solitaryblack(Collodaria) biovolume  [mm3 l-1];solitarygrey(Collodaria) biovolume  [mm3 l-1];living avgesd  [mm];Eukaryota(living) avgesd  [mm];Harosa(Eukaryota) avgesd  [mm];Rhizaria(Harosa) avgesd  [mm];Retaria(Rhizaria) avgesd  [mm];Acantharea(Retaria) avgesd  [mm];Polycystinea(Retaria) avgesd  [mm];Collodaria(Polycystinea) avgesd  [mm];solitaryblack(Collodaria) avgesd  [mm];solitarygrey(Collodaria) avgesd  [mm]
;;brusample01;My DO Name(doname@test.com);HDR20191121010000;uvp5;;;2019-11-21 01:00:00;44.0905;7.576;2.5;1.13;7079.646017699116;7079.646017699116;7079.646017699116;7079.646017699116;7079.646017699116;1769.911504424779;5309.734513274337;5309.734513274337;2654.8672566371683;2654.8672566371683;22.649045089858497;22.649045089858497;22.649045089858497;22.649045089858497;22.649045089858497;4.7028276493474515;17.946217440510974;17.946217440510974;10.874310941576374;7.071906498934656;1.80781553053872;1.80781553053872;1.80781553053872;1.80781553053872;1.80781553053872;1.71844641150691;1.85250009005462;1.85250009005462;1.98511933821097;1.71988084189828
;;;;;;;;;;;7.5;1.13;10619.469026548673;10619.469026548673;10619.469026548673;10619.469026548673;10619.469026548673;1769.911504424779;8849.557522123894;8849.557522123894;4424.778761061947;4424.778761061947;34.356954721830355;34.356954721830355;34.356954721830355;34.356954721830355;34.356954721830355;4.655799657315885;29.701155064514516;29.701155064514516;17.997041661844516;11.704113402669913;1.80301305473784;1.80301305473784;1.80301305473784;1.80301305473784;1.80301305473784;1.71269907494561;1.84817004463396;1.84817004463396;1.98047757304577;1.71586251622215
;;;;;;;;;;;12.5;1.13;11504.424778761064;11504.424778761064;11504.424778761064;11504.424778761064;11504.424778761064;2654.8672566371683;8849.557522123894;8849.557522123894;4424.778761061947;4424.778761061947;36.326932020707524;36.326932020707524;36.326932020707524;36.326932020707524;36.326932020707524;6.895867362529904;29.431064658177615;29.431064658177615;17.82088901234133;11.610175645836373;1.79691343677778;1.79691343677778;1.79691343677778;1.79691343677778;1.79691343677778;1.70548664742249;1.84262683145543;1.84262683145543;1.97399480190812;1.71125886100274
;;;;;;;;;;;17.5;1.13;10619.469026548673;10619.469026548673;10619.469026548673;10619.469026548673;10619.469026548673;1769.911504424779;8849.557522123894;8849.557522123894;4424.778761061947;4424.778761061947;33.71419606070107;33.71419606070107;33.71419606070107;33.71419606070107;33.71419606070107;4.538921276967726;29.17527478373328;29.17527478373328;17.65879997627717;11.516474807456108;1.79096031907223;1.79096031907223;1.79096031907223;1.79096031907223;1.79096031907223;1.69824563910478;1.83731765905595;1.83731765905595;1.96799175252911;1.7066435655828
;;;;;;;;;;;22.5;1.13;11504.424778761064;11504.424778761064;11504.424778761064;11504.424778761064;11504.424778761064;2654.8672566371683;8849.557522123894;8849.557522123894;4424.778761061947;4424.778761061947;35.61642906225257;35.61642906225257;35.61642906225257;35.61642906225257;35.61642906225257;6.721294359976806;28.89513470227575;28.89513470227575;17.48376152711062;11.411373175165133;1.78462507214833;1.78462507214833;1.78462507214833;1.78462507214833;1.78462507214833;1.69097154716408;1.83145183464045;1.83145183464045;1.96146771525832;1.70143595402259
;;;;;;;;;;;27.5;1.13;10619.469026548673;10619.469026548673;10619.469026548673;10619.469026548673;10619.469026548673;1769.911504424779;8849.557522123894;8849.557522123894;4424.778761061947;4424.778761061947;33.06396938990867;33.06396938990867;33.06396938990867;33.06396938990867;33.06396938990867;4.423037637837761;28.640931752070976;28.640931752070976;17.32270426195894;11.318227490112037;1.77862916391845;1.77862916391845;1.77862916391845;1.77862916391845;1.77862916391845;1.68366813206334;1.826109679846;1.826109679846;1.95542620867422;1.69679315101779
;;;;;;;;;;;32.5;1.13;11504.424778761064;11504.424778761064;11504.424778761064;11504.424778761064;11504.424778761064;2654.8672566371683;8849.557522123894;8849.557522123894;4424.778761061947;4424.778761061947;34.92232778475416;34.92232778475416;34.92232778475416;34.92232778475416;34.92232778475416;6.5482198902530095;28.374107894501154;28.374107894501154;17.14878715116381;11.225320743337347;1.77244309370478;1.77244309370478;1.77244309370478;1.77244309370478;1.77244309370478;1.67633076650477;1.82049925730478;1.82049925730478;1.94886010705695;1.69213840755261
;;;;;;;;;;;37.5;1.13;10619.469026548673;10619.469026548673;10619.469026548673;10619.469026548673;10619.469026548673;1769.911504424779;8849.557522123894;8849.557522123894;4424.778761061947;4424.778761061947;32.418040799992305;32.418040799992305;32.418040799992305;32.418040799992305;32.418040799992305;4.308157353246363;28.10988344674593;28.10988344674593;16.988768309492215;11.121115137253717;1.76620957154341;1.76620957154341;1.76620957154341;1.76620957154341;1.76620957154341;1.66896330271695;1.81483270595663;1.81483270595663;1.94277939456208;1.68688601735119
;;;;;;;;;;;42.5;1.13;11504.424778761064;11504.424778761064;11504.424778761064;11504.424778761064;11504.424778761064;2654.8672566371683;8849.557522123894;8849.557522123894;4424.778761061947;4424.778761061947;34.22140517394381;34.22140517394381;34.22140517394381;34.22140517394381;34.22140517394381;6.376657042383301;27.844748131560532;27.844748131560532;16.81597981407549;11.028768317484957;1.75997814599763;1.75997814599763;1.75997814599763;1.75997814599763;1.75997814599763;1.66156098310952;1.80918672744168;1.80918672744168;1.93617040431527;1.68220305056809
;;;;;;;;;;;47.5;1.13;10619.469026548673;10619.469026548673;10619.469026548673;10619.469026548673;10619.469026548673;1769.911504424779;8849.557522123894;8849.557522123894;4424.778761061947;4424.778761061947;31.787957951411332;31.787957951411332;31.787957951411332;31.787957951411332;31.787957951411332;4.194289264216867;27.59366868719443;27.59366868719443;16.657006178817966;10.936662508376461;1.75389509932245;1.75389509932245;1.75389509932245;1.75389509932245;1.75389509932245;1.65412775544665;1.80377877126036;1.80377877126036;1.93004971259046;1.67750782993025
