//<Creator>Application Administrator (admin)</Creator>
//<CreateTime>2021-02-01T10:24:29</CreateTime>
//<DataField>Ocean</DataField>
//<DataType>Profiles</DataType>
//<Method>Particle abundance and volume from the Underwater Vision Profiler. The Underwater Video Profiler is designed for the quantification of particles and of large zooplankton in the water column. Light reflected by undisturbed target objects forms a dark-field image.</Method>
//<Owner1>My DO Name(doname@test.com)</Owner1>
Cruise:METAVAR:TEXT:40;Site:METAVAR:TEXT:20;Station:METAVAR:TEXT:20;DataOwner:METAVAR:TEXT:20;Rawfilename:METAVAR:TEXT:20;Instrument:METAVAR:TEXT:10;SN:METAVAR:TEXT:10;CTDrosettefilename:METAVAR:TEXT:40;yyyy-mm-dd hh:mm:METAVAR:TEXT:40;Latitude [degrees_north]:METAVAR:DOUBLE;Longitude [degrees_east]:METAVAR:DOUBLE;Depth [m]:PRIMARYVAR:DOUBLE;Sampled volume [L];solitaryblack(Collodaria) w/o children [# m-3];solitarygrey(Collodaria) w/o children [# m-3];Acantharea(Retaria) w/o children [# m-3];fiber(detritus) w/o children [# m-3];fiber(plastic) w/o children [# m-3];solitaryblack(Collodaria) biovolume w/o children [mm3 l-1];solitarygrey(Collodaria) biovolume w/o children [mm3 l-1];Acantharea(Retaria) biovolume w/o children [mm3 l-1];fiber(detritus) biovolume w/o children [mm3 l-1];fiber(plastic) biovolume w/o children [mm3 l-1];solitaryblack(Collodaria) avgesd w/o children [mm];solitarygrey(Collodaria) avgesd w/o children [mm];Acantharea(Retaria) avgesd w/o children [mm];fiber(detritus) avgesd w/o children [mm];fiber(plastic) avgesd w/o children [mm]
;;brusample01;My DO Name(doname@test.com);HDR20191121010000;uvp5;;;2019-11-21 01:00:00;44.0905;7.576;12.5;5.65;4070.796460176991;4070.796460176991;2123.8938053097345;4070.796460176991;8141.592920353982;16.36696062383;10.662808706012441;5.502942061227557;3.8337879983406546;11.64389755552892;1.97381023619046;1.71101634774571;1.70516986402877;1.2161394061391;1.39835798626237
;;;;;;;;;;;37.5;5.65;4424.778761061946;4424.778761061946;2123.8938053097345;4424.778761061946;8849.557522123892;16.98664914310168;11.12601883931292;5.170072237587451;4.167160867761592;12.201910380738337;1.9426571654398;1.68710569128399;1.66893018796825;1.2161394061391;1.38090154429988
;;;;;;;;;;;62.5;5.65;4424.778761061946;4424.778761061946;2300.884955752212;4424.778761061946;8849.557522123892;16.160094759837044;10.646247595761167;5.23339654474823;4.167160867761592;11.731809396839042;1.91061958969734;1.66249655408603;1.63158585544976;1.2161394061391;1.36293377762408
;;;;;;;;;;;87.5;5.65;4424.778761061946;4424.778761061946;2123.8938053097345;4424.778761061946;8849.557522123892;15.349974936613044;10.175828178522158;4.4992459473832564;4.167160867761592;11.26790601375469;1.87814051877435;1.63763774423527;1.59336682885299;1.2161394061391;1.3447259378818
;;;;;;;;;;;112.5;5.65;4424.778761061946;4424.778761061946;2300.884955752212;4424.778761061946;8849.557522123892;14.551336641310726;9.712539295846867;4.5237003758600345;4.167160867761592;10.810284168929062;1.84498285657807;1.61239626915486;1.55420755161382;1.2161394061391;1.32626813617984
;;;;;;;;;;;137.5;5.65;4424.778761061946;4424.778761061946;2123.8938053097345;4424.778761061946;8849.557522123892;13.769534623790282;9.2543339236343;3.8602457425255747;4.167160867761592;10.359031305996425;1.81132710208731;1.58662869164631;1.51403612101168;1.2161394061391;1.30754978544428
;;;;;;;;;;;175.0;11.3;4424.778761061946;4424.778761061946;2212.389380530973;4424.778761061946;8849.557522123892;12.623614966625485;8.58514650637729;3.552049009454159;4.167160867761592;9.695119995039027;1.75943778695441;1.54730705774185;1.45153977646922;1.2161394061391;1.27892234565944
;;;;;;;;;;;225.0;11.3;4424.778761061946;4424.778761061946;88.49557522123894;4424.778761061946;8849.557522123892;11.146833997572124;7.716153515860973;0.12927884380176638;4.167160867761592;8.832007589644743;1.68792381557555;1.4932104608564;1.40778314165224;1.2161394061391;1.23977199538461
;;;;;;;;;;;275.0;11.3;4424.778761061946;4424.778761061946;0;4424.778761061946;8849.557522123892;9.732642492131504;6.879641944379194;0;4.167160867761592;7.996156100304503;1.61324070974172;1.43714612634056;;1.2161394061391;1.19934387250829
;;;;;;;;;;;325.0;11.3;4424.778761061946;4424.778761061946;0;4424.778761061946;8849.557522123892;8.383946118385602;6.075759088703363;0;4.167160867761592;7.1884858346513445;1.53492526243169;1.37880373926271;;1.2161394061391;1.15750399259196
;;;;;;;;;;;375.0;11.3;4424.778761061946;4424.778761061946;0;4424.778761061946;8849.557522123892;7.104098018908318;5.305006848299813;0;4.167160867761592;6.410017210158575;1.45238894093036;1.31780399101716;;1.2161394061391;1.11409316586589
;;;;;;;;;;;425.0;11.3;4424.778761061946;4424.778761061946;0;4424.778761061946;8849.557522123892;5.897027297052902;4.570813419639158;0;4.167160867761592;5.661890358194849;1.36486449051271;1.2539157229479;;1.2161394061391;1.0689198087437
;;;;;;;;;;;475.0;11.3;4424.778761061946;4424.778761061946;0;4424.778761061946;8849.557522123892;4.767426145214593;3.8740310363203716;0;4.167160867761592;4.9453905718198845;1.27131910059107;1.18659074510392;;1.2161394061391;1.02174988087084
;;;;;;;;;;;550.0;22.6;88.49557522123894;88.49557522123894;0;4424.778761061946;176.99115044247787;0.08417803704285928;0.07037048930028805;0;4.167160867761588;0.09209698854867168;1.22018647025723;1.14945012184675;;1.2161394061391;0.997926184884102
;;;;;;;;;;;650.0;22.6;0;0;0;4424.778761061946;0;0;0;0;4.167160867761588;0;;;;1.2161394061391;
;;;;;;;;;;;750.0;22.6;0;0;0;4424.778761061946;0;0;0;0;4.167160867761588;0;;;;1.2161394061391;
;;;;;;;;;;;850.0;22.6;0;0;0;4424.778761061946;0;0;0;0;4.167160867761588;0;;;;1.2161394061391;
;;;;;;;;;;;950.0;22.6;0;0;0;4424.778761061946;0;0;0;0;4.167160867761588;0;;;;1.2161394061391;
;;;;;;;;;;;1125.0;56.5;0;0;0;35.39823008849557;0;0;0;0;0.033337286942092745;0;;;;1.2161394061391;
;;lambdasample01;My DO Name(doname@test.com);HDRlambdasample01_UVPSN_DEPTH_LPM.txt;uvp6remote;000010LP;;2019-11-21 03:36:58;44.091;7.576;12.5;5.65;4070.796460176991;4070.796460176991;2123.8938053097345;4070.796460176991;8141.592920353982;;;;;;1.97381023619046;1.71101634774571;1.70516986402877;1.2161394061391;1.39835798626237
;;;;;;;;;;;37.5;5.65;4424.778761061946;4424.778761061946;2123.8938053097345;4424.778761061946;8849.557522123892;;;;;;1.9426571654398;1.68710569128399;1.66893018796825;1.2161394061391;1.38090154429988
;;;;;;;;;;;62.5;5.65;4424.778761061946;4424.778761061946;2300.884955752212;4424.778761061946;8849.557522123892;;;;;;1.91061958969734;1.66249655408603;1.63158585544976;1.2161394061391;1.36293377762408
;;;;;;;;;;;87.5;5.65;4424.778761061946;4424.778761061946;2123.8938053097345;4424.778761061946;8849.557522123892;;;;;;1.87814051877435;1.63763774423527;1.59336682885299;1.2161394061391;1.3447259378818
;;;;;;;;;;;112.5;5.65;4424.778761061946;4424.778761061946;2300.884955752212;4424.778761061946;8849.557522123892;;;;;;1.84498285657807;1.61239626915486;1.55420755161382;1.2161394061391;1.32626813617984
;;;;;;;;;;;137.5;5.65;4424.778761061946;4424.778761061946;2123.8938053097345;4424.778761061946;8849.557522123892;;;;;;1.81132710208731;1.58662869164631;1.51403612101168;1.2161394061391;1.30754978544428
;;;;;;;;;;;175.0;11.3;4424.778761061946;4424.778761061946;2212.389380530973;4424.778761061946;8849.557522123892;;;;;;1.75943778695441;1.54730705774185;1.45153977646922;1.2161394061391;1.27892234565944
;;;;;;;;;;;225.0;11.3;4424.778761061946;4424.778761061946;88.49557522123894;4424.778761061946;8849.557522123892;;;;;;1.68792381557555;1.49321046085641;1.40778314165224;1.2161394061391;1.23977199538461
;;;;;;;;;;;275.0;11.3;4424.778761061946;4424.778761061946;0;4424.778761061946;8849.557522123892;;;;;;1.61324070974173;1.43714612634056;;1.2161394061391;1.19934387250829
;;;;;;;;;;;325.0;11.3;4424.778761061946;4424.778761061946;0;4424.778761061946;8849.557522123892;;;;;;1.53492526243169;1.37880373926271;;1.2161394061391;1.15750399259196
;;;;;;;;;;;375.0;11.3;4424.778761061946;4424.778761061946;0;4424.778761061946;8849.557522123892;;;;;;1.45238894093036;1.31780399101716;;1.2161394061391;1.11409316586589
;;;;;;;;;;;425.0;11.3;4424.778761061946;4424.778761061946;0;4424.778761061946;8849.557522123892;;;;;;1.36486449051271;1.2539157229479;;1.2161394061391;1.0689198087437
;;;;;;;;;;;475.0;11.3;4424.778761061946;4424.778761061946;0;4424.778761061946;8849.557522123892;;;;;;1.27131910059107;1.18659074510392;;1.2161394061391;1.02174988087084
;;;;;;;;;;;550.0;22.6;88.49557522123894;88.49557522123894;0;4424.778761061946;176.99115044247787;;;;;;1.22018647025723;1.14945012184675;;1.2161394061391;0.997926184884102
;;;;;;;;;;;650.0;22.6;0;0;0;4424.778761061946;0;;;;;;;;;1.2161394061391;
;;;;;;;;;;;750.0;22.6;0;0;0;4424.778761061946;0;;;;;;;;;1.2161394061391;
;;;;;;;;;;;850.0;22.6;0;0;0;4424.778761061946;0;;;;;;;;;1.2161394061391;
;;;;;;;;;;;950.0;22.6;0;0;0;4424.778761061946;0;;;;;;;;;1.2161394061391;
;;;;;;;;;;;1125.0;56.5;0;0;0;35.39823008849557;0;;;;;;;;;1.2161394061391;
;;lambdasampleT1;My DO Name(doname@test.com);HDRlambdasampleT1_UVPSN_TIME_LPM.txt;uvp6remote;000010LP;;2019-11-21 07:00:06;44.091;7.576;12.5;0;;;;;;;;;;;1.61246179826806;1.4384775223122;1.56897006433418;1.2161394061391;1.19817369970605
;;uvpappsample01;My DO Name(doname@test.com);HDR20191121010000;uvp6;;;2019-11-21 01:00:00;44.0905;7.576;12.5;5.65;4070.796460176991;4070.796460176991;2123.8938053097345;4070.796460176991;8141.592920353982;16.36696062383;10.662808706012441;5.502942061227557;3.8337879983406546;11.64389755552892;1.97381023619046;1.71101634774571;1.70516986402877;1.2161394061391;1.39835798626237
;;;;;;;;;;;37.5;5.65;4424.778761061946;4424.778761061946;2123.8938053097345;4424.778761061946;8849.557522123892;16.98664914310168;11.12601883931292;5.170072237587451;4.167160867761592;12.201910380738337;1.9426571654398;1.68710569128399;1.66893018796825;1.2161394061391;1.38090154429988
;;;;;;;;;;;62.5;5.65;4424.778761061946;4424.778761061946;2300.884955752212;4424.778761061946;8849.557522123892;16.160094759837044;10.646247595761167;5.23339654474823;4.167160867761592;11.731809396839042;1.91061958969734;1.66249655408603;1.63158585544976;1.2161394061391;1.36293377762408
;;;;;;;;;;;87.5;5.65;4424.778761061946;4424.778761061946;2123.8938053097345;4424.778761061946;8849.557522123892;15.349974936613044;10.175828178522158;4.4992459473832564;4.167160867761592;11.26790601375469;1.87814051877435;1.63763774423527;1.59336682885299;1.2161394061391;1.3447259378818
;;;;;;;;;;;112.5;5.65;4424.778761061946;4424.778761061946;2300.884955752212;4424.778761061946;8849.557522123892;14.551336641310726;9.712539295846867;4.5237003758600345;4.167160867761592;10.810284168929062;1.84498285657807;1.61239626915486;1.55420755161382;1.2161394061391;1.32626813617984
;;;;;;;;;;;137.5;5.65;4424.778761061946;4424.778761061946;2123.8938053097345;4424.778761061946;8849.557522123892;13.769534623790282;9.2543339236343;3.8602457425255747;4.167160867761592;10.359031305996425;1.81132710208731;1.58662869164631;1.51403612101168;1.2161394061391;1.30754978544428
;;;;;;;;;;;175.0;11.3;4424.778761061946;4424.778761061946;2212.389380530973;4424.778761061946;8849.557522123892;12.623614966625485;8.58514650637729;3.552049009454159;4.167160867761592;9.695119995039027;1.75943778695441;1.54730705774185;1.45153977646922;1.2161394061391;1.27892234565944
;;;;;;;;;;;225.0;11.3;4424.778761061946;4424.778761061946;88.49557522123894;4424.778761061946;8849.557522123892;11.146833997572124;7.716153515860973;0.12927884380176638;4.167160867761592;8.832007589644743;1.68792381557555;1.4932104608564;1.40778314165224;1.2161394061391;1.23977199538461
;;;;;;;;;;;275.0;11.3;4424.778761061946;4424.778761061946;0;4424.778761061946;8849.557522123892;9.732642492131504;6.879641944379194;0;4.167160867761592;7.996156100304503;1.61324070974172;1.43714612634056;;1.2161394061391;1.19934387250829
;;;;;;;;;;;325.0;11.3;4424.778761061946;4424.778761061946;0;4424.778761061946;8849.557522123892;8.383946118385602;6.075759088703363;0;4.167160867761592;7.1884858346513445;1.53492526243169;1.37880373926271;;1.2161394061391;1.15750399259196
;;;;;;;;;;;375.0;11.3;4424.778761061946;4424.778761061946;0;4424.778761061946;8849.557522123892;7.104098018908318;5.305006848299813;0;4.167160867761592;6.410017210158575;1.45238894093036;1.31780399101716;;1.2161394061391;1.11409316586589
;;;;;;;;;;;425.0;11.3;4424.778761061946;4424.778761061946;0;4424.778761061946;8849.557522123892;5.897027297052902;4.570813419639158;0;4.167160867761592;5.661890358194849;1.36486449051271;1.2539157229479;;1.2161394061391;1.0689198087437
;;;;;;;;;;;475.0;11.3;4424.778761061946;4424.778761061946;0;4424.778761061946;8849.557522123892;4.767426145214593;3.8740310363203716;0;4.167160867761592;4.9453905718198845;1.27131910059107;1.18659074510392;;1.2161394061391;1.02174988087084
;;;;;;;;;;;550.0;22.6;88.49557522123894;88.49557522123894;0;4424.778761061946;176.99115044247787;0.08417803704285928;0.07037048930028805;0;4.167160867761588;0.09209698854867168;1.22018647025723;1.14945012184675;;1.2161394061391;0.997926184884102
;;;;;;;;;;;650.0;22.6;0;0;0;4424.778761061946;0;0;0;0;4.167160867761588;0;;;;1.2161394061391;
;;;;;;;;;;;750.0;22.6;0;0;0;4424.778761061946;0;0;0;0;4.167160867761588;0;;;;1.2161394061391;
;;;;;;;;;;;850.0;22.6;0;0;0;4424.778761061946;0;0;0;0;4.167160867761588;0;;;;1.2161394061391;
;;;;;;;;;;;950.0;22.6;0;0;0;4424.778761061946;0;0;0;0;4.167160867761588;0;;;;1.2161394061391;
;;;;;;;;;;;1125.0;56.5;0;0;0;35.39823008849557;0;0;0;0;0.033337286942092745;0;;;;1.2161394061391;
;;uvpappsampleT1;My DO Name(doname@test.com);HDR20191121040000;uvp6;;;2019-11-21 04:00:00;44.0905;7.576;;0;;;;;;;;;;;1.61246179826806;1.4384775223122;1.56897006433418;1.2161394061391;1.19817369970605
