depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3	datetime
2	1	7	400	28.5	30.0	31.5	20191121010000
2	1	12	200	28.5	30.0	31.5	20191121010000
2	1	19	10	28.5	30.0	31.5	20191121010000
2	1	30	20	28.5	30.0	31.5	20191121010000
2	1	75	33	28.5	30.0	31.5	20191121010000
2	1	118	57	28.5	30.0	31.5	20191121010000
7	1	7	399	28.5	30.0	31.5	20191121010103
7	1	12	199	28.5	30.0	31.5	20191121010103
7	1	19	10	28.5	30.0	31.5	20191121010103
7	1	30	19	28.5	30.0	31.5	20191121010103
7	1	75	32	28.5	30.0	31.5	20191121010103
7	1	118	57	28.5	30.0	31.5	20191121010103
12	1	7	398	28.5	30.0	31.5	20191121010206
12	1	12	198	28.5	30.0	31.5	20191121010206
12	1	19	10	28.5	30.0	31.5	20191121010206
12	1	30	18	28.5	30.0	31.5	20191121010206
12	1	75	31	28.5	30.0	31.5	20191121010206
12	1	118	57	28.5	30.0	31.5	20191121010206
17	1	7	397	28.5	30.0	31.5	20191121010309
17	1	12	197	28.5	30.0	31.5	20191121010309
17	1	19	10	28.5	30.0	31.5	20191121010309
17	1	30	17	28.5	30.0	31.5	20191121010309
17	1	75	30	28.5	30.0	31.5	20191121010309
17	1	118	57	28.5	30.0	31.5	20191121010309
22	1	7	396	28.5	30.0	31.5	20191121010412
22	1	12	196	28.5	30.0	31.5	20191121010412
22	1	19	10	28.5	30.0	31.5	20191121010412
22	1	30	16	28.5	30.0	31.5	20191121010412
22	1	75	29	28.5	30.0	31.5	20191121010412
22	1	118	56	28.5	30.0	31.5	20191121010412
27	1	7	395	28.5	30.0	31.5	20191121010515
27	1	12	195	28.5	30.0	31.5	20191121010515
27	1	19	10	28.5	30.0	31.5	20191121010515
27	1	30	15	28.5	30.0	31.5	20191121010515
27	1	75	28	28.5	30.0	31.5	20191121010515
27	1	118	56	28.5	30.0	31.5	20191121010515
32	1	7	394	28.5	30.0	31.5	20191121010618
32	1	12	194	28.5	30.0	31.5	20191121010618
32	1	19	10	28.5	30.0	31.5	20191121010618
32	1	30	14	28.5	30.0	31.5	20191121010618
32	1	75	27	28.5	30.0	31.5	20191121010618
32	1	118	56	28.5	30.0	31.5	20191121010618
37	1	7	393	28.5	30.0	31.5	20191121010721
37	1	12	193	28.5	30.0	31.5	20191121010721
37	1	19	10	28.5	30.0	31.5	20191121010721
37	1	30	13	28.5	30.0	31.5	20191121010721
37	1	75	27	28.5	30.0	31.5	20191121010721
37	1	118	56	28.5	30.0	31.5	20191121010721
42	1	7	392	28.5	30.0	31.5	20191121010824
42	1	12	192	28.5	30.0	31.5	20191121010824
42	1	19	10	28.5	30.0	31.5	20191121010824
42	1	30	12	28.5	30.0	31.5	20191121010824
42	1	75	26	28.5	30.0	31.5	20191121010824
42	1	118	56	28.5	30.0	31.5	20191121010824
47	1	7	391	28.5	30.0	31.5	20191121010927
47	1	12	191	28.5	30.0	31.5	20191121010927
47	1	19	10	28.5	30.0	31.5	20191121010927
47	1	30	11	28.5	30.0	31.5	20191121010927
47	1	75	25	28.5	30.0	31.5	20191121010927
47	1	118	56	28.5	30.0	31.5	20191121010927
52	1	7	390	28.5	30.0	31.5	20191121011030
52	1	12	190	28.5	30.0	31.5	20191121011030
52	1	19	10	28.5	30.0	31.5	20191121011030
52	1	30	10	28.5	30.0	31.5	20191121011030
52	1	75	25	28.5	30.0	31.5	20191121011030
52	1	118	56	28.5	30.0	31.5	20191121011030
57	1	7	389	28.5	30.0	31.5	20191121011133
57	1	12	189	28.5	30.0	31.5	20191121011133
57	1	19	10	28.5	30.0	31.5	20191121011133
57	1	30	9	28.5	30.0	31.5	20191121011133
57	1	75	24	28.5	30.0	31.5	20191121011133
57	1	118	56	28.5	30.0	31.5	20191121011133
62	1	7	388	28.5	30.0	31.5	20191121011236
