orig_id	objid	name	taxo_hierarchy	classif_qual	depth_including_offset	psampleid	%area	angle	area	area_exc	areai	bx	by	cdexc	centroids	circ.	circex	compentropy	compm1	compm2	compm3	compmean	compslope	convarea	convarea_area	convperim	convperim_perim	cv	elongation	esd	fcons	feret	feretareaexc	fractal	height	histcum1	histcum2	histcum3	intden	kurt	kurt_mean	major	max	mean	meanpos	median	median_mean	median_mean_range	min	minor	mode	nb1	nb1_area	nb1_range	nb2	nb2_area	nb2_range	nb3	nb3_area	nb3_range	perim.	perimareaexc	perimferet	perimmajor	range	skelarea	skeleton_area	skew	skew_mean	slope	sr	stddev	symetrieh	symetrieh_area	symetriehc	symetriev	symetriev_area	symetrievc	tag	thickr	width	x	xm	xmg5	xstart	y	ym	ymg5	ystart
	6401	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	2.0	561			300.0																																																																																
	6403	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	4.0	561			299.0																																																																																
	6405	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	6.0	561			298.0																																																																																
	6407	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	8.0	561			297.0																																																																																
	6409	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	10.0	561			296.0																																																																																
	6411	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	12.0	561			295.0																																																																																
	6413	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	14.0	561			294.0																																																																																
	6415	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	16.0	561			293.0																																																																																
	6417	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	18.0	561			292.0																																																																																
	6419	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	20.0	561			291.0																																																																																
	6421	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	22.0	561			290.0																																																																																
	6423	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	24.0	561			289.0																																																																																
	6425	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	26.0	561			288.0																																																																																
	6427	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	28.0	561			287.0																																																																																
	6429	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	30.0	561			286.0																																																																																
	6431	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	32.0	561			285.0																																																																																
	6433	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	34.0	561			284.0																																																																																
	6435	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	36.0	561			283.0																																																																																
	6437	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	38.0	561			282.0																																																																																
	6439	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	40.0	561			281.0																																																																																
	6441	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	42.0	561			280.0																																																																																
	6443	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	44.0	561			279.0																																																																																
	6445	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	46.0	561			278.0																																																																																
	6447	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	48.0	561			277.0																																																																																
	6449	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	50.0	561			276.0																																																																																
	6451	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	52.0	561			275.0																																																																																
	6453	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	54.0	561			274.0																																																																																
	6455	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	56.0	561			273.0																																																																																
	6457	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	58.0	561			272.0																																																																																
	6459	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	60.0	561			271.0																																																																																
	6461	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	62.0	561			270.0																																																																																
	6463	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	64.0	561			269.0																																																																																
	6465	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	66.0	561			268.0																																																																																
	6467	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	68.0	561			267.0																																																																																
	6469	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	70.0	561			266.0																																																																																
	6471	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	72.0	561			265.0																																																																																
	6473	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	74.0	561			264.0																																																																																
	6475	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	76.0	561			263.0																																																																																
	6477	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	78.0	561			262.0																																																																																
	6479	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	80.0	561			261.0																																																																																
	6481	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	82.0	561			260.0																																																																																
	6483	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	84.0	561			259.0																																																																																
	6485	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	86.0	561			258.0																																																																																
	6487	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	88.0	561			257.0																																																																																
	6489	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	90.0	561			256.0																																																																																
	6491	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	92.0	561			255.0																																																																																
	6493	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	94.0	561			254.0																																																																																
	6495	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	96.0	561			253.0																																																																																
	6497	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	98.0	561			252.0																																																																																
	6499	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	100.0	561			251.0																																																																																
	6501	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	102.0	561			250.0																																																																																
	6503	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	104.0	561			249.0																																																																																
	6505	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	106.0	561			248.0																																																																																
	6507	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	108.0	561			247.0																																																																																
	6509	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	110.0	561			246.0																																																																																
	6511	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	112.0	561			245.0																																																																																
	6513	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	114.0	561			244.0																																																																																
	6515	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	116.0	561			243.0																																																																																
	6517	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	118.0	561			242.0																																																																																
	6519	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	120.0	561			241.0																																																																																
	6521	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	122.0	561			240.0																																																																																
	6523	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	124.0	561			239.0																																																																																
	6525	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	126.0	561			238.0																																																																																
	6527	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	128.0	561			237.0																																																																																
	6529	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	130.0	561			236.0																																																																																
	6531	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	132.0	561			235.0																																																																																
	6533	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	134.0	561			234.0																																																																																
	6535	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	136.0	561			233.0																																																																																
	6537	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	138.0	561			232.0																																																																																
