depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3	datetime
12.5	10	7	4774	28.5	30.0	31.5	20191121050000
12.5	10	12	2374	28.5	30.0	31.5	20191121050000
12.5	10	19	120	28.5	30.0	31.5	20191121050000
12.5	10	30	214	28.5	30.0	31.5	20191121050000
12.5	10	75	374	28.5	30.0	31.5	20191121050000
12.5	10	118	681	28.5	30.0	31.5	20191121050000
37.5	10	7	4714	28.5	30.0	31.5	20191121050500
37.5	10	12	2314	28.5	30.0	31.5	20191121050500
37.5	10	19	120	28.5	30.0	31.5	20191121050500
37.5	10	30	154	28.5	30.0	31.5	20191121050500
37.5	10	75	322	28.5	30.0	31.5	20191121050500
37.5	10	118	680	28.5	30.0	31.5	20191121050500
62.5	10	7	4654	28.5	30.0	31.5	20191121051000
62.5	10	12	2254	28.5	30.0	31.5	20191121051000
62.5	10	19	120	28.5	30.0	31.5	20191121051000
62.5	10	30	94	28.5	30.0	31.5	20191121051000
62.5	10	75	284	28.5	30.0	31.5	20191121051000
62.5	10	118	678	28.5	30.0	31.5	20191121051000
87.5	10	7	4594	28.5	30.0	31.5	20191121051500
87.5	10	12	2194	28.5	30.0	31.5	20191121051500
87.5	10	19	120	28.5	30.0	31.5	20191121051500
87.5	10	30	34	28.5	30.0	31.5	20191121051500
87.5	10	75	253	28.5	30.0	31.5	20191121051500
87.5	10	118	675	28.5	30.0	31.5	20191121051500
110.0	8	7	3632	28.5	30.0	31.5	20191121052000
110.0	8	12	1712	28.5	30.0	31.5	20191121052000
110.0	8	19	96	28.5	30.0	31.5	20191121052000
110.0	8	75	186	28.5	30.0	31.5	20191121052000
110.0	8	118	540	28.5	30.0	31.5	20191121052000
132.5	10	7	4486	28.5	30.0	31.5	20191121052500
132.5	10	12	2086	28.5	30.0	31.5	20191121052500
132.5	10	19	120	28.5	30.0	31.5	20191121052500
132.5	10	75	212	28.5	30.0	31.5	20191121052500
132.5	10	118	671	28.5	30.0	31.5	20191121052500
157.5	10	7	4426	28.5	30.0	31.5	20191121053000
157.5	10	12	2026	28.5	30.0	31.5	20191121053000
157.5	10	19	120	28.5	30.0	31.5	20191121053000
157.5	10	75	195	28.5	30.0	31.5	20191121053000
157.5	10	118	670	28.5	30.0	31.5	20191121053000
182.5	10	7	4366	28.5	30.0	31.5	20191121053500
182.5	10	12	1966	28.5	30.0	31.5	20191121053500
182.5	10	19	120	28.5	30.0	31.5	20191121053500
182.5	10	75	179	28.5	30.0	31.5	20191121053500
182.5	10	118	668	28.5	30.0	31.5	20191121053500
205.0	8	7	3450	28.5	30.0	31.5	20191121054000
