pressure [db]	time [yyyymmddhhmmssmmm]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	qc flag	spar [umol m-2 s-1]	temperature [degc]	bbp470 [m-1]	beam transmission 660 nm [%]	beam attenuation coef 660 nm [m-1]	nitrate isus [?mol/l]	oxygen  [ml/l]	oxygen  [umol/kg]	oxygen per sat [?mol/kg]	par [?mol m-2 s-1]	par ratio [%]	part backscattering coef 470 nm [m-1]	ph	spar [?mol m-2 s-1]	time [second]
6.0	20190101021400000	1.4261	4.361766		5.932								15.1349	35.5134	0		15.1358		89.7837						140.01					
7.0	20190101021600000	1.3777	4.36185		6.949								15.1351	35.5135	0		15.1362		89.7325						107.43					
8.0	20190101021900000	1.4047	4.361866		7.938								15.1347	35.5134	0		15.136		89.7521						88.941					
9.0	20190101022100000	1.3874	4.361821		8.925								15.1338	35.5133	0		15.1352		89.7604						77.365					
10.0	20190101022400000	1.4028	4.361996		9.913								15.1348	35.5134	0		15.1364		89.8839						64.558					
11.0	20190101022600000	1.3751	4.36221		10.907								15.1364	35.5134	0		15.138		89.8738						57.975					
12.0	20190101022900000	1.3534	4.362239		11.898								15.136	35.5134	0		15.1378		89.8283						48.615					
13.0	20190101023100000	1.4118	4.362254		12.887								15.1356	35.5134	0		15.1376		89.8796						44.828					
14.0	20190101023400000	1.4385	4.362384		13.884								15.1364	35.5133	0		15.1385		89.8567						37.071					
15.0	20190101023600000	1.3863	4.362515		14.867								15.1369	35.5134	0		15.1392		89.7767						31.842					
16.0	20190101023900000	1.4183	4.362656		15.865								15.1374	35.5137	0		15.1399		89.7101						28.805					
17.0	20190101024100000	1.3703	4.362443		16.865								15.135	35.5135	0		15.1376		89.6507						21.252					
18.0	20190101024400000	1.4348	4.361755		17.845								15.1278	35.5133	0		15.1306		89.9784						19.615					
19.0	20190101024600000	1.4167	4.361638		18.84								15.126	35.5134	0		15.1288		89.9096						16.783					
