depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3	datetime
12.5	15	7	4774	28.5	30.0	31.5	20191121060000
12.5	15	12	2374	28.5	30.0	31.5	20191121060000
12.5	15	19	120	28.5	30.0	31.5	20191121060000
12.5	15	30	214	28.5	30.0	31.5	20191121060000
12.5	15	75	374	28.5	30.0	31.5	20191121060000
12.5	15	118	681	28.5	30.0	31.5	20191121060000
37.5	15	7	4714	28.5	30.0	31.5	20191121060500
37.5	15	12	2314	28.5	30.0	31.5	20191121060500
37.5	15	19	120	28.5	30.0	31.5	20191121060500
37.5	15	30	154	28.5	30.0	31.5	20191121060500
37.5	15	75	322	28.5	30.0	31.5	20191121060500
37.5	15	118	680	28.5	30.0	31.5	20191121060500
62.5	15	7	4654	28.5	30.0	31.5	20191121061000
62.5	15	12	2254	28.5	30.0	31.5	20191121061000
62.5	15	19	120	28.5	30.0	31.5	20191121061000
62.5	15	30	94	28.5	30.0	31.5	20191121061000
62.5	15	75	284	28.5	30.0	31.5	20191121061000
62.5	15	118	678	28.5	30.0	31.5	20191121061000
87.5	15	7	4594	28.5	30.0	31.5	20191121061500
87.5	15	12	2194	28.5	30.0	31.5	20191121061500
87.5	15	19	120	28.5	30.0	31.5	20191121061500
87.5	15	30	34	28.5	30.0	31.5	20191121061500
87.5	15	75	253	28.5	30.0	31.5	20191121061500
87.5	15	118	675	28.5	30.0	31.5	20191121061500
110.0	12	7	3632	28.5	30.0	31.5	20191121062000
110.0	12	12	1712	28.5	30.0	31.5	20191121062000
110.0	12	19	96	28.5	30.0	31.5	20191121062000
110.0	12	75	186	28.5	30.0	31.5	20191121062000
110.0	12	118	540	28.5	30.0	31.5	20191121062000
132.5	15	7	4486	28.5	30.0	31.5	20191121062500
132.5	15	12	2086	28.5	30.0	31.5	20191121062500
132.5	15	19	120	28.5	30.0	31.5	20191121062500
132.5	15	75	212	28.5	30.0	31.5	20191121062500
132.5	15	118	671	28.5	30.0	31.5	20191121062500
157.5	15	7	4426	28.5	30.0	31.5	20191121063000
157.5	15	12	2026	28.5	30.0	31.5	20191121063000
157.5	15	19	120	28.5	30.0	31.5	20191121063000
157.5	15	75	195	28.5	30.0	31.5	20191121063000
157.5	15	118	670	28.5	30.0	31.5	20191121063000
182.5	15	7	4366	28.5	30.0	31.5	20191121063500
182.5	15	12	1966	28.5	30.0	31.5	20191121063500
182.5	15	19	120	28.5	30.0	31.5	20191121063500
182.5	15	75	179	28.5	30.0	31.5	20191121063500
182.5	15	118	668	28.5	30.0	31.5	20191121063500
205.0	12	7	3450	28.5	30.0	31.5	20191121064000
205.0	12	12	1530	28.5	30.0	31.5	20191121064000
205.0	12	19	96	28.5	30.0	31.5	20191121064000
205.0	12	75	134	28.5	30.0	31.5	20191121064000
205.0	12	118	532	28.5	30.0	31.5	20191121064000
205.0	12	30	36	28.5	30.0	31.5	20191121064000
227.5	15	7	4258	28.5	30.0	31.5	20191121064500
227.5	15	12	1858	28.5	30.0	31.5	20191121064500
227.5	15	19	120	28.5	30.0	31.5	20191121064500
227.5	15	75	158	28.5	30.0	31.5	20191121064500
227.5	15	118	664	28.5	30.0	31.5	20191121064500
252.5	15	7	4198	28.5	30.0	31.5	20191121065000
252.5	15	12	1798	28.5	30.0	31.5	20191121065000
252.5	15	19	120	28.5	30.0	31.5	20191121065000
252.5	15	75	148	28.5	30.0	31.5	20191121065000
252.5	15	118	660	28.5	30.0	31.5	20191121065000
277.5	15	7	4138	28.5	30.0	31.5	20191121065500
277.5	15	12	1738	28.5	30.0	31.5	20191121065500
277.5	15	19	120	28.5	30.0	31.5	20191121065500
277.5	15	75	138	28.5	30.0	31.5	20191121065500
277.5	15	118	660	28.5	30.0	31.5	20191121065500
300.0	12	7	3267	28.5	30.0	31.5	20191121070000
300.0	12	12	1347	28.5	30.0	31.5	20191121070000
300.0	12	19	96	28.5	30.0	31.5	20191121070000
300.0	12	75	105	28.5	30.0	31.5	20191121070000
300.0	12	118	524	28.5	30.0	31.5	20191121070000
322.5	15	7	4030	28.5	30.0	31.5	20191121070500
322.5	15	12	1630	28.5	30.0	31.5	20191121070500
322.5	15	19	120	28.5	30.0	31.5	20191121070500
322.5	15	75	125	28.5	30.0	31.5	20191121070500
322.5	15	118	655	28.5	30.0	31.5	20191121070500
347.5	15	7	3970	28.5	30.0	31.5	20191121071000
347.5	15	12	1570	28.5	30.0	31.5	20191121071000
347.5	15	19	120	28.5	30.0	31.5	20191121071000
347.5	15	75	119	28.5	30.0	31.5	20191121071000
347.5	15	118	651	28.5	30.0	31.5	20191121071000
372.5	15	7	3910	28.5	30.0	31.5	20191121071500
372.5	15	12	1510	28.5	30.0	31.5	20191121071500
372.5	15	19	120	28.5	30.0	31.5	20191121071500
372.5	15	75	113	28.5	30.0	31.5	20191121071500
372.5	15	118	650	28.5	30.0	31.5	20191121071500
395.0	12	7	3085	28.5	30.0	31.5	20191121072000
395.0	12	12	1165	28.5	30.0	31.5	20191121072000
395.0	12	19	96	28.5	30.0	31.5	20191121072000
395.0	12	75	87	28.5	30.0	31.5	20191121072000
395.0	12	118	516	28.5	30.0	31.5	20191121072000
417.5	15	7	3802	28.5	30.0	31.5	20191121072500
417.5	15	12	1402	28.5	30.0	31.5	20191121072500
417.5	15	19	120	28.5	30.0	31.5	20191121072500
417.5	15	75	104	28.5	30.0	31.5	20191121072500
417.5	15	118	645	28.5	30.0	31.5	20191121072500
442.5	15	7	3742	28.5	30.0	31.5	20191121073000
442.5	15	12	1342	28.5	30.0	31.5	20191121073000
442.5	15	19	120	28.5	30.0	31.5	20191121073000
442.5	15	75	100	28.5	30.0	31.5	20191121073000
442.5	15	118	641	28.5	30.0	31.5	20191121073000
467.5	15	7	3682	28.5	30.0	31.5	20191121073500
467.5	15	12	1282	28.5	30.0	31.5	20191121073500
467.5	15	19	120	28.5	30.0	31.5	20191121073500
467.5	15	75	95	28.5	30.0	31.5	20191121073500
467.5	15	118	639	28.5	30.0	31.5	20191121073500
490.0	12	7	2902	28.5	30.0	31.5	20191121074000
490.0	12	12	982	28.5	30.0	31.5	20191121074000
