orig_id	objid	name	taxo_hierarchy	classif_qual	depth_including_offset	psampleid	%area	angle	area	area_exc	areai	bx	by	cdexc	centroids	circ.	circex	compentropy	compm1	compm2	compm3	compmean	compslope	convarea	convarea_area	convperim	convperim_perim	cv	elongation	esd	fcons	feret	feretareaexc	fractal	height	histcum1	histcum2	histcum3	intden	kurt	kurt_mean	major	max	mean	meanpos	median	median_mean	median_mean_range	min	minor	mode	nb1	nb1_area	nb1_range	nb2	nb2_area	nb2_range	nb3	nb3_area	nb3_range	perim.	perimareaexc	perimferet	perimmajor	range	skelarea	skeleton_area	skew	skew_mean	slope	sr	stddev	symetrieh	symetrieh_area	symetriehc	symetriev	symetriev_area	symetrievc	tag	thickr	width	x	xm	xmg5	xstart	y	ym	ymg5	ystart
MyOrigID	12801	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	2.0	567			300.0																																																																																
MyOrigID	12802	Halimeda hederacea	living>Eukaryota>Archaeplastida>Viridiplantae>Chlorophyta>Ulvophyceae>Bryopsidales>Halimeda>Halimeda hederacea	N	20.0	567			300.0																																																																																
MyOrigID	12803	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	4.0	567			299.0																																																																																
MyOrigID	12804	Halimeda hederacea	living>Eukaryota>Archaeplastida>Viridiplantae>Chlorophyta>Ulvophyceae>Bryopsidales>Halimeda>Halimeda hederacea	N	22.0	567			299.0																																																																																
MyOrigID	12805	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	6.0	567			298.0																																																																																
MyOrigID	12806	Halimeda hederacea	living>Eukaryota>Archaeplastida>Viridiplantae>Chlorophyta>Ulvophyceae>Bryopsidales>Halimeda>Halimeda hederacea	N	24.0	567			298.0																																																																																
MyOrigID	12807	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	8.0	567			297.0																																																																																
MyOrigID	12808	Halimeda hederacea	living>Eukaryota>Archaeplastida>Viridiplantae>Chlorophyta>Ulvophyceae>Bryopsidales>Halimeda>Halimeda hederacea	N	26.0	567			297.0																																																																																
MyOrigID	12809	Acantharea	living>Eukaryota>Harosa>Rhizaria>Retaria>Acantharea	V	10.0	567			296.0																																																																																
MyOrigID	12810	Halimeda hederacea	living>Eukaryota>Archaeplastida>Viridiplantae>Chlorophyta>Ulvophyceae>Bryopsidales>Halimeda>Halimeda hederacea	N	28.0	567			296.0																																																																																
