depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
2	2	7	960	42	54	67
2	2	12	480	41	53	66
2	2	19	24	35	41	48
2	2	30	48	41	53	66
2	2	75	80	39	49	60
2	2	118	137	41	52	64
7	2	7	957	42	54	67
7	2	12	477	41	53	66
7	2	19	24	35	41	48
7	2	30	45	41	52	63
7	2	75	77	39	49	60
7	2	118	136	41	52	64
12	2	7	955	42	54	67
12	2	12	475	41	53	66
12	2	19	24	35	41	48
12	2	30	43	40	51	62
12	2	75	75	39	48	61
12	2	118	136	41	52	64
17	2	7	952	42	54	67
17	2	12	472	41	53	66
17	2	19	24	35	41	48
17	2	30	40	39	49	60
17	2	75	72	38	47	62
17	2	118	136	41	52	64
22	2	7	950	42	54	67
22	2	12	470	41	53	66
22	2	19	24	35	41	48
22	2	30	38	39	48	58
22	2	75	70	38	47	62
22	2	118	136	41	52	64
27	2	7	948	42	54	67
27	2	12	468	41	53	67
27	2	19	24	35	41	48
27	2	30	36	38	47	57
27	2	75	68	38	46	63
27	2	118	136	41	52	64
32	2	7	945	42	54	67
32	2	12	465	41	54	67
32	2	19	24	35	41	48
32	2	30	33	38	46	54
32	2	75	66	38	46	63
32	2	118	136	41	52	64
37	2	7	943	42	54	67
37	2	12	463	41	54	67
37	2	19	24	35	41	48
37	2	30	31	37	45	53
37	2	75	64	37	47	64
37	2	118	136	41	52	64
42	2	7	940	42	54	67
42	2	12	460	41	54	67
42	2	19	24	35	41	48
42	2	30	28	36	43	51
42	2	75	63	37	48	64
42	2	118	136	41	52	64
47	2	7	938	42	54	67
47	2	12	458	41	54	67
47	2	19	24	35	41	48
47	2	30	26	36	42	49
47	2	75	61	37	49	64
47	2	118	136	41	52	64
52	2	7	936	42	54	67
52	2	12	456	41	54	67
52	2	19	24	35	41	48
52	2	30	24	35	41	48
52	2	75	60	37	49	65
52	2	118	136	41	52	64
57	2	7	933	42	54	67
57	2	12	453	42	54	67
57	2	19	24	35	41	48
57	2	30	21	35	40	45
57	2	75	58	37	50	65
57	2	118	136	41	52	64
62	2	7	931	42	54	67
62	2	12	451	42	54	67
62	2	19	24	35	41	48
62	2	30	19	34	39	44
62	2	75	57	37	51	65
62	2	118	136	41	52	64
67	2	7	928	42	54	67
67	2	12	448	42	54	67
67	2	19	24	35	41	48
67	2	30	16	33	37	42
67	2	75	55	38	52	66
67	2	118	135	41	52	63
72	2	7	926	42	54	67
72	2	12	446	42	54	67
72	2	19	24	35	41	48
72	2	30	14	33	36	40
72	2	75	54	39	52	66
72	2	118	135	41	52	63
77	2	7	924	42	54	67
77	2	12	444	42	54	67
77	2	19	24	35	41	48
77	2	30	12	32	35	39
77	2	75	53	40	53	66
77	2	118	135	41	52	63
82	2	7	921	42	54	67
82	2	12	441	42	54	66
82	2	19	24	35	41	48
