pressure [db]	time [yyyymmddhhmmssmmm]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	qc flag	spar [umol m-2 s-1]	temperature [degc]	angular scattering coef at 117° 470 nm [m-1 sr-1]	bbp470 [m-1]	beam transmission 660 nm [%]	beam attenuation coef 660 nm [m-1]	nitrate isus [µmol/l]	oxygen  [ml/l]	oxygen  [umol/kg]	oxygen per sat [µmol/kg]	par ratio [%]	part backscattering coef 470 nm [m-1]	ph	time [second]
5.0		1.3208	4.333141		4.937						28.737		14.851	35.5109	0		14.8517			88.733									
6.0		1.3459	4.333037		5.951						22.323		14.8491	35.5112	0		14.85			88.8463									
7.0		1.398	4.332713		6.945						17.4		14.8456	35.5109	0		14.8467			88.8857									
8.0		1.3457	4.332594		7.939						14.063		14.842	35.5125	0		14.8432			88.9658									
9.0		1.4238	4.331065		8.93						12.11		14.8209	35.5174	0		14.8222			89.2301									
10.0		1.4202	4.336423		9.916						10.545		14.8783	35.5124	0		14.8799			89.1609									
11.0		1.3509	4.335964		10.907						9.5357		14.8737	35.5122	0		14.8754			89.0101									
12.0		1.3498	4.334736		11.898						8.1963		14.8614	35.512	0		14.8632			89.224									
13.0		1.3673	4.338508		12.891						6.6745		14.8999	35.5102	0		14.9018			89.0924									
14.0		1.3696	4.334918		13.881						5.4693		14.863	35.5113	0		14.8651			89.0262									
15.0		1.3907	4.33763		14.861						5.8155		14.8888	35.5116	0		14.891			88.9708									
16.0		1.4362	4.333985		15.861						4.9317		14.8558	35.509	0		14.8583			88.9925									
17.0		1.3868	4.30743		16.862						3.8295		14.5741	35.5275	0		14.5767			89.0715									
18.0		1.3448	4.316851		17.856						2.9994		14.6722	35.5208	0		14.6749			89.7906									
19.0		1.3854	4.32027		18.841						2.9834		14.7052	35.52	0		14.708			90.1461									
20.0		1.3734	4.320964		19.835						2.4146		14.7133	35.5182	0		14.7163			89.7724									
21.0		1.3816	4.311319		20.82						2.0313		14.6045	35.5292	0		14.6077			89.6577									
22.0		1.3921	4.314907		21.811						1.9522		14.6485	35.52	0		14.6517			89.6243									
23.0		1.3371	4.320305		22.808						1.56		14.7034	35.5173	0		14.7068			89.6925									
24.0		1.4006	4.314686		23.788						1.3834		14.6496	35.5167	0		14.6531			89.9111									
25.0		1.33	4.279384		24.79						1.2103		14.2768	35.5398	0		14.2804			90.2272									
26.0		1.3235	4.300242		25.781						0.99578		14.4958	35.5234	0		14.4997			91.0968									
27.0		1.2619	4.306178		26.769						0.78365		14.5528	35.523	0		14.5568			91.0003									
28.0		1.2833	4.308292		27.763						0.71869		14.5728	35.5232	0		14.577			90.632									
29.0		1.2593	4.314878		28.753						0.69363		14.642	35.5187	0		14.6463			90.294									
30.0		1.2812	4.304121		29.738						0.51699		14.5306	35.5239	0		14.5351			90.2461									
31.0		1.2591	4.298791		30.735						0.47835		14.4789	35.5227	0		14.4835			90.22									
32.0		1.2606	4.247042		31.735						0.39569		13.951	35.5402	0		13.9556			90.3795									
33.0		1.2036	4.241947		32.716						0.33815		13.8848	35.5493	0		13.8895			91.3357									
34.0		1.2443	4.234375		33.71						0.2666		13.8127	35.5418	0		13.8175			92.3167									
35.0		1.1363	4.237071		34.695						0.23657		13.8472	35.5328	0		13.8522			93.1117									
36.0		1.1015	4.192815		35.695						0.21041		13.3882	35.5521	0		13.3932			93.4998									
37.0		0.8445	4.187528		36.689						0.17255		13.334	35.5499	0		13.3392			94.3612									
38.0		0.6817	4.189925		37.668						0.13823		13.3555	35.5451	0		13.3608			95.7839									
39.0		0.7329	4.186613		38.665						0.13438		13.3208	35.5452	0		13.3263			95.5597									
40.0		0.7218	4.185923		39.663						0.11199		13.3126	35.5449	0		13.3182			95.7305									
41.0		0.6548	4.185509		40.65						0.090963		13.3065	35.5439	0		13.3122			95.9323									
42.0		0.6322	4.184821		41.644						0.085802		13.298	35.5437	0		13.3039			96.0685									
43.0		0.5956	4.183952		42.64						0.062919		13.2888	35.5432	0		13.2948			96.2193									
44.0		0.497	4.183293		43.618						0.054317		13.2811	35.5425	0		13.2873			96.5979									
45.0		0.4492	4.179418		44.612						0.04678		13.2444	35.54	0		13.2507			96.6577									
46.0		0.4085	4.174602		45.607						0.040339		13.1979	35.5378	0		13.2043			96.9404									
