orig_id	objid	name	taxo_hierarchy	classif_qual	depth_including_offset	psampleid	%area	angle	area	area_exc	areai	bx	by	cdexc	centroids	circ.	circex	compentropy	compm1	compm2	compm3	compmean	compslope	convarea	convarea_area	convperim	convperim_perim	cv	elongation	esd	fcons	feret	feretareaexc	fractal	height	histcum1	histcum2	histcum3	intden	kurt	kurt_mean	major	max	mean	meanpos	median	median_mean	median_mean_range	min	minor	mode	nb1	nb1_area	nb1_range	nb2	nb2_area	nb2_range	nb3	nb3_area	nb3_range	perim.	perimareaexc	perimferet	perimmajor	range	skelarea	skeleton_area	skew	skew_mean	slope	sr	stddev	symetrieh	symetrieh_area	symetriehc	symetriev	symetriev_area	symetrievc	tag	thickr	width	x	xm	xmg5	xstart	y	ym	ymg5	ystart
	12800	fiber<detritus	not-living>detritus>fiber	V	1001.0	564			150.0																																																																																
	12799	fiber<plastic	not-living>plastic>fiber	V	501.5	564			101.0																																																																																
	12798	fiber<detritus	not-living>detritus>fiber	V	1000.0	564			150.0																																																																																
	12797	fiber<plastic	not-living>plastic>fiber	V	501.0	564			101.0																																																																																
	12796	fiber<detritus	not-living>detritus>fiber	V	999.0	564			150.0																																																																																
	12795	fiber<plastic	not-living>plastic>fiber	V	500.5	564			101.0																																																																																
	12794	fiber<detritus	not-living>detritus>fiber	V	998.0	564			150.0																																																																																
	12793	fiber<plastic	not-living>plastic>fiber	V	500.0	564			101.0																																																																																
	12792	fiber<detritus	not-living>detritus>fiber	V	997.0	564			150.0																																																																																
	12791	fiber<plastic	not-living>plastic>fiber	V	499.5	564			101.0																																																																																
	12790	fiber<detritus	not-living>detritus>fiber	V	996.0	564			150.0																																																																																
	12789	fiber<plastic	not-living>plastic>fiber	V	499.0	564			101.0																																																																																
	12788	fiber<detritus	not-living>detritus>fiber	V	995.0	564			150.0																																																																																
	12787	fiber<plastic	not-living>plastic>fiber	V	498.5	564			101.0																																																																																
	12786	fiber<detritus	not-living>detritus>fiber	V	994.0	564			150.0																																																																																
	12785	fiber<plastic	not-living>plastic>fiber	V	498.0	564			101.0																																																																																
	12784	fiber<detritus	not-living>detritus>fiber	V	993.0	564			150.0																																																																																
	12783	fiber<plastic	not-living>plastic>fiber	V	497.5	564			101.0																																																																																
	12782	fiber<detritus	not-living>detritus>fiber	V	992.0	564			150.0																																																																																
	12781	fiber<plastic	not-living>plastic>fiber	V	497.0	564			101.0																																																																																
	12780	fiber<detritus	not-living>detritus>fiber	V	991.0	564			150.0																																																																																
	12779	fiber<plastic	not-living>plastic>fiber	V	496.5	564			102.0																																																																																
	12778	fiber<detritus	not-living>detritus>fiber	V	990.0	564			150.0																																																																																
	12777	fiber<plastic	not-living>plastic>fiber	V	496.0	564			102.0																																																																																
	12776	fiber<detritus	not-living>detritus>fiber	V	989.0	564			150.0																																																																																
	12775	fiber<plastic	not-living>plastic>fiber	V	495.5	564			102.0																																																																																
	12774	fiber<detritus	not-living>detritus>fiber	V	988.0	564			150.0																																																																																
	12773	fiber<plastic	not-living>plastic>fiber	V	495.0	564			102.0																																																																																
	12772	fiber<detritus	not-living>detritus>fiber	V	987.0	564			150.0																																																																																
	12771	fiber<plastic	not-living>plastic>fiber	V	494.5	564			102.0																																																																																
	12770	fiber<detritus	not-living>detritus>fiber	V	986.0	564			150.0																																																																																
	12769	fiber<plastic	not-living>plastic>fiber	V	494.0	564			102.0																																																																																
	12768	fiber<detritus	not-living>detritus>fiber	V	985.0	564			150.0																																																																																
	12767	fiber<plastic	not-living>plastic>fiber	V	493.5	564			102.0																																																																																
	12766	fiber<detritus	not-living>detritus>fiber	V	984.0	564			150.0																																																																																
	12765	fiber<plastic	not-living>plastic>fiber	V	493.0	564			102.0																																																																																
