psampleid	pprojid	profileid	filename	sampleid	latitude	longitude	organizedbydeepth	histobrutavailable	qualitytaxo	qualitypart	daterecalculhistotaxo	winddir	winspeed	seastate	nebuloussness	comment	stationid	firstimage	lastimg	lastimgused	bottomdepth	yoyo	sampledate	op_sample_name	op_sample_email	ctd_desc	ctd_origfilename	ctd_import_name	ctd_import_email	ctd_import_datetime	ctd_status	instrumsn	acq_aa	acq_exp	acq_volimage	acq_depthoffset	acq_pixel	acq_shutterspeed	acq_smzoo	acq_exposure	acq_gain	acq_filedescription	acq_eraseborder	acq_tasktype	acq_threshold	acq_choice	acq_disktype	acq_smbase	acq_ratio	acq_descent_filter	acq_presure_gain	acq_xsize	acq_ysize	acq_barcode	proc_datetime	proc_gamma	proc_soft	lisst_zscat_filename	lisst_kernel	txt_data01	txt_data02	txt_data03	txt_data04	txt_data05	txt_data06	txt_data07	txt_data08	txt_data09	txt_data10	ptitle	rawfolder	ownerid	projid	instrumtype	op_name	op_email	cs_name	cs_email	do_name	do_email	prj_info	prj_acronym	cruise	ship	default_instrumsn	default_depthoffset	Particle filename	CTD filename	Plankton filename
567	3	"brusample01"	"20191121010000"	5	44.0905	7.576	True	True			2021-02-01 14:07:10.550371					""	""	1	999999	300		False	2019-11-21 01:00:00				""						0.0002	1.02	1.13		0.088		26		6	"shutterspeed = 12"	0	2	21	1	0	0	3	True							"Zooprocess"													"EcoPart TU Project UVP 5 pour load BRU"	"qa/data/tu1_uvp5bru"	"Application Administrator (admin)"	3	"uvp5"	"My OP Name"	"opname@test.com"	"My CS Name"	"csname@test.com"	"My DO Name"	"doname@test.com"							20191121010000_brusample01_PAR_raw_20210201_15_21.tsv	no data available	20191121010000_brusample01_ZOO_raw_20210201_15_21.tsv
568	3	"brusample02"	"20191121020000"		44.0905	7.576	True	True								""	""	1	999999	599		False	2019-11-21 02:00:00			"01=Bbp470 [m-1] $02=Beam Transmission 660 nm [%] $03=Beam attenuation coef 660 nm [m-1] $04=Nitrate ISUS [?Mol/L] $05=Oxygen  [ml/l] $06=Oxygen  [umol/Kg] $07=Oxygen Per Sat [?mol/Kg] $08=PAR [?mol m-2 s-1] $09=PAR ratio [%] $10=Part backscattering coef 470 nm [m-1] $11=Ph $12=SPAR [?mol m-2 s-1] $13=Time [second]"	""	"Application Administrator"	"admin"	2021-02-01 14:07:11.946256			0.0002	1.02	1.13		0.088		26		6	"shutterspeed = 12"	0	2	21	1	0	0	3	True							"Zooprocess"													"EcoPart TU Project UVP 5 pour load BRU"	"qa/data/tu1_uvp5bru"	"Application Administrator (admin)"	3	"uvp5"	"My OP Name"	"opname@test.com"	"My CS Name"	"csname@test.com"	"My DO Name"	"doname@test.com"							20191121020000_brusample02_PAR_raw_20210201_15_21.tsv	20191121020000_brusample02_CTD_raw_20210201_15_21.tsv	no data available
569	3	"brusample03"	"20191121030000"		44.0905	7.576	True	True								""	""	1	999999	898		False	2019-11-21 03:00:00			"01=Angular scattering coef at 117° 470 nm [m-1 Sr-1] $02=Bbp470 [m-1] $03=Beam Transmission 660 nm [%] $04=Beam attenuation coef 660 nm [m-1] $05=Nitrate ISUS [µMol/L] $06=Oxygen  [ml/l] $07=Oxygen  [umol/Kg] $08=Oxygen Per Sat [µmol/Kg] $09=PAR ratio [%] $10=Part backscattering coef 470 nm [m-1] $11=Ph $12=Time [second]"	""	"Application Administrator"	"admin"	2021-02-01 14:07:14.648177			0.0002	1.02	1.13		0.088		26		6	"shutterspeed = 12"	0	2	21	1	0	0	3	True							"Zooprocess"													"EcoPart TU Project UVP 5 pour load BRU"	"qa/data/tu1_uvp5bru"	"Application Administrator (admin)"	3	"uvp5"	"My OP Name"	"opname@test.com"	"My CS Name"	"csname@test.com"	"My DO Name"	"doname@test.com"							20191121030000_brusample03_PAR_raw_20210201_15_21.tsv	20191121030000_brusample03_CTD_raw_20210201_15_21.tsv	no data available
576	8	"lambdasample01"	"lambdasample01_UVPSN_DEPTH_LPM.txt"		44.091	7.576	True	True															2019-11-21 03:36:58									"000010LP"	0.0002	1.02	1.13	1.0	73.0	284			6				21																									"EcoPart TU Project UVP Remote Lambda HTTP"	"qa/data/tu1_uvp6remotelambda"	"Application Administrator (admin)"	2	"uvp6remote"	"My OP Name"	"opname@test.com"	"My CS Name"	"csname@test.com"	"My DO Name"	"doname@test.com"							lambdasample01_UVPSN_DEPTH_LPM.txt_lambdasample01_PAR_raw_20210201_15_21.tsv	no data available	lambdasample01_UVPSN_DEPTH_LPM.txt_lambdasample01_ZOO_raw_20210201_15_21.tsv
577	8	"lambdasample02"	"lambdasample02_UVPSN_DEPTH_LPM.txt"		44.091	7.576	True	True															2019-11-21 04:36:59									"000010LP"	0.0002	1.02	1.13	1.0	73.0	284			6				21																									"EcoPart TU Project UVP Remote Lambda HTTP"	"qa/data/tu1_uvp6remotelambda"	"Application Administrator (admin)"	2	"uvp6remote"	"My OP Name"	"opname@test.com"	"My CS Name"	"csname@test.com"	"My DO Name"	"doname@test.com"							lambdasample02_UVPSN_DEPTH_LPM.txt_lambdasample02_PAR_raw_20210201_15_21.tsv	no data available	no data available
578	8	"lambdasample03"	"lambdasample03_UVPSN_DEPTH_LPM.txt"		44.09	7.576	True	True															2019-11-21 05:37:00									"000010LP"	0.0002	1.02	1.13	1.0	73.0	284			6				21																									"EcoPart TU Project UVP Remote Lambda HTTP"	"qa/data/tu1_uvp6remotelambda"	"Application Administrator (admin)"	2	"uvp6remote"	"My OP Name"	"opname@test.com"	"My CS Name"	"csname@test.com"	"My DO Name"	"doname@test.com"							lambdasample03_UVPSN_DEPTH_LPM.txt_lambdasample03_PAR_raw_20210201_15_21.tsv	no data available	no data available
579	8	"lambdasampleT1"	"lambdasampleT1_UVPSN_TIME_LPM.txt"		44.091	7.576	False	True															2019-11-21 07:00:06									"000010LP"	0.0002	1.02	1.13	1.0	73.0	284			6				21																									"EcoPart TU Project UVP Remote Lambda HTTP"	"qa/data/tu1_uvp6remotelambda"	"Application Administrator (admin)"	2	"uvp6remote"	"My OP Name"	"opname@test.com"	"My CS Name"	"csname@test.com"	"My DO Name"	"doname@test.com"							lambdasampleT1_UVPSN_TIME_LPM.txt_lambdasampleT1_PAR_raw_20210201_15_21.tsv	no data available	lambdasampleT1_UVPSN_TIME_LPM.txt_lambdasampleT1_ZOO_raw_20210201_15_21.tsv
580	8	"lambdasampleT2"	"lambdasampleT2_UVPSN_TIME_LPM.txt"		44.091	7.576	False	True															2019-11-21 08:00:13									"000010LP"	0.0002	1.02	1.13	1.0	73.0	284			6				21																									"EcoPart TU Project UVP Remote Lambda HTTP"	"qa/data/tu1_uvp6remotelambda"	"Application Administrator (admin)"	2	"uvp6remote"	"My OP Name"	"opname@test.com"	"My CS Name"	"csname@test.com"	"My DO Name"	"doname@test.com"							lambdasampleT2_UVPSN_TIME_LPM.txt_lambdasampleT2_PAR_raw_20210201_15_21.tsv	no data available	no data available
581	8	"lambdasampleT3"	"lambdasampleT3_UVPSN_TIME_LPM.txt"		44.09	7.576	False	True															2019-11-21 09:00:20									"000010LP"	0.0002	1.02	1.13	1.0	73.0	284			6				21																									"EcoPart TU Project UVP Remote Lambda HTTP"	"qa/data/tu1_uvp6remotelambda"	"Application Administrator (admin)"	2	"uvp6remote"	"My OP Name"	"opname@test.com"	"My CS Name"	"csname@test.com"	"My DO Name"	"doname@test.com"							lambdasampleT3_UVPSN_TIME_LPM.txt_lambdasampleT3_PAR_raw_20210201_15_21.tsv	no data available	no data available
561	6	"uvpappsample01"	"20191121010000"	3	44.0905	7.576	True	True			2021-02-01 14:07:01.307772					""	""	1	999999			False	2019-11-21 01:00:00				""						0.0002	1.02	1.13		0.088	2	1659		6				0			18		False							"Zooprocess"													"EcoPart TU Project UVP 6 from UVP APP"	"qa/data/tu1_uvp6uvpapp"	"Application Administrator (admin)"	2	"uvp6"	"My OP Name"	"opname@test.com"	"My CS Name"	"csname@test.com"	"My DO Name"	"doname@test.com"							20191121010000_uvpappsample01_PAR_raw_20210201_15_21.tsv	no data available	20191121010000_uvpappsample01_ZOO_raw_20210201_15_21.tsv
