Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-2 µm) [# l-1]	LPM (2-4 µm) [# l-1]	LPM (4-8 µm) [# l-1]	LPM (8-16 µm) [# l-1]	LPM (16-32 µm) [# l-1]	LPM (32-64 µm) [# l-1]	LPM (64-128 µm) [# l-1]	LPM (128-256 µm) [# l-1]	LPM (256-512 µm) [# l-1]	LPM (0.512-1.02 mm) [# l-1]	LPM (1.02-2.05 mm) [# l-1]	LPM (2.05-4.1 mm) [# l-1]	LPM (4.1-8.19 mm) [# l-1]	LPM (8.19-16.4 mm) [# l-1]	LPM (>16.4 mm) [# l-1]	LPM biovolume (1-2 µm) [mm3 l-1]	LPM biovolume (2-4 µm) [mm3 l-1]	LPM biovolume (4-8 µm) [mm3 l-1]	LPM biovolume (8-16 µm) [mm3 l-1]	LPM biovolume (16-32 µm) [mm3 l-1]	LPM biovolume (32-64 µm) [mm3 l-1]	LPM biovolume (64-128 µm) [mm3 l-1]	LPM biovolume (128-256 µm) [mm3 l-1]	LPM biovolume (256-512 µm) [mm3 l-1]	LPM biovolume (0.512-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-16.4 mm) [mm3 l-1]	LPM biovolume (>16.4 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
brusample01	HDR20191121010000	2019-11-21 01:00:00	2.5	1.13	0.0	0.0	0.0	0.0	0.0	530.9734513274336	26.548672566371685	79.64601769911505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0316531771105907	0.00855603397788946	0.204679065125991	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	7.5	1.13	0.0	0.0	0.0	0.0	0.0	529.2035398230089	25.663716814159294	78.76106194690266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0315318795992345	0.00821340359624903	0.203286953426791	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	12.5	1.13	0.0	0.0	0.0	0.0	0.0	527.4336283185842	24.778761061946906	77.87610619469027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0314105820878783	0.0078707732146086	0.20189484172759	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	17.5	1.13	0.0	0.0	0.0	0.0	0.0	525.6637168141593	23.893805309734514	76.99115044247789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0312892845765221	0.00752814283296817	0.20050273002839	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	22.5	1.13	0.0	0.0	0.0	0.0	0.0	523.8938053097346	23.008849557522126	75.2212389380531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0311679870651659	0.00718551245132775	0.196325716942306	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	27.5	1.13	0.0	0.0	0.0	0.0	0.0	522.1238938053098	22.123893805309738	74.33628318584071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0310466895538098	0.00684288206968732	0.194933605243106	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	32.5	1.13	0.0	0.0	0.0	0.0	0.0	520.353982300885	21.238938053097346	73.45132743362832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0309253920424536	0.00650025168804689	0.193541493543906	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	37.5	1.13	0.0	0.0	0.0	0.0	0.0	518.5840707964602	20.353982300884958	73.45132743362832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0308040945310974	0.00615762130640646	0.193541493543906	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	42.5	1.13	0.0	0.0	0.0	0.0	0.0	516.8141592920355	19.469026548672566	72.56637168141593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0306827970197412	0.00581499092476604	0.192149381844706	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	47.5	1.13	0.0	0.0	0.0	0.0	0.0	515.0442477876106	18.58407079646018	71.68141592920355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030561499508385	0.00547236054312561	0.190757270145505	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	52.5	1.13	0.0	0.0	0.0	0.0	0.0	513.2743362831859	17.69911504424779	71.68141592920355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0304402019970289	0.00512973016148518	0.190757270145505	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	57.5	1.13	0.0	0.0	0.0	0.0	0.0	511.5044247787611	16.8141592920354	70.79646017699116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0303189044856727	0.00478709977984476	0.189365158446305	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	62.5	1.13	0.0	0.0	0.0	0.0	0.0	509.73451327433634	15.92920353982301	69.91150442477877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0301976069743165	0.00444446939820433	0.187973046747105	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	67.5	1.13	0.0	0.0	0.0	0.0	0.0	507.96460176991155	15.04424778761062	69.91150442477877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0300763094629603	0.0041018390165639	0.187973046747105	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	72.5	1.13	0.0	0.0	0.0	0.0	0.0	506.19469026548677	14.15929203539823	69.02654867256638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0299550119516041	0.00375920863492347	0.186580935047905	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	77.5	1.13	0.0	0.0	0.0	0.0	0.0	504.424778761062	13.274336283185843	69.02654867256638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029833714440248	0.00341657825328305	0.186580935047905	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	82.5	1.13	0.0	0.0	0.0	0.0	0.0	502.6548672566372	12.389380530973453	68.14159292035399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0297124169288918	0.00307394787164262	0.185188823348705	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	87.5	1.13	0.0	0.0	0.0	0.0	0.0	500.8849557522124	11.504424778761063	68.14159292035399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0295911194175356	0.00273131749000219	0.185188823348705	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	92.5	1.13	0.0	0.0	0.0	0.0	0.0	499.11504424778764	10.619469026548673	67.2566371681416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0294698219061794	0.00238868710836176	0.183796711649505	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	97.5	1.13	0.0	0.0	0.0	0.0	0.0	497.34513274336285	9.734513274336283	67.2566371681416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0293485243948233	0.00204605672672134	0.183796711649505	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	102.5	1.13	0.0	0.0	0.0	0.0	0.0	495.5752212389381	8.849557522123895	67.2566371681416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0292272268834671	0.00170342634508091	0.183796711649505	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	107.5	1.13	0.0	0.0	0.0	0.0	0.0	493.80530973451334	8.849557522123895	66.3716814159292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0291059293721109	0.00170342634508091	0.182404599950304	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	112.5	1.13	0.0	0.0	0.0	0.0	0.0	492.03539823008856	8.849557522123895	66.3716814159292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0289846318607547	0.00170342634508091	0.182404599950304	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	117.5	1.13	0.0	0.0	0.0	0.0	0.0	490.2654867256638	8.849557522123895	65.48672566371683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0288633343493985	0.00170342634508091	0.181012488251104	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	122.5	1.13	0.0	0.0	0.0	0.0	0.0	488.495575221239	8.849557522123895	65.48672566371683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0287420368380424	0.00170342634508091	0.181012488251104	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	127.5	1.13	0.0	0.0	0.0	0.0	0.0	486.7256637168142	8.849557522123895	65.48672566371683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0286207393266862	0.00170342634508091	0.181012488251104	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	132.5	1.13	0.0	0.0	0.0	0.0	0.0	484.9557522123894	8.849557522123895	64.60176991150443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02849944181533	0.00170342634508091	0.179620376551904	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	137.5	1.13	0.0	0.0	0.0	0.0	0.0	483.18584070796464	8.849557522123895	64.60176991150443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0283781443039738	0.00170342634508091	0.179620376551904	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	142.5	1.13	0.0	0.0	0.0	0.0	0.0	481.41592920353986	8.849557522123895	64.60176991150443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0282568467926176	0.00170342634508091	0.179620376551904	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
brusample01	HDR20191121010000	2019-11-21 01:00:00	147.5	1.13	0.0	0.0	0.0	0.0	0.0	479.6460176991151	8.849557522123895	63.71681415929204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0281355492812615	0.00170342634508091	0.178228264852704	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
