Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-2 µm) [# l-1]	LPM (2-4 µm) [# l-1]	LPM (4-8 µm) [# l-1]	LPM (8-16 µm) [# l-1]	LPM (16-32 µm) [# l-1]	LPM (32-64 µm) [# l-1]	LPM (64-128 µm) [# l-1]	LPM (128-256 µm) [# l-1]	LPM (256-512 µm) [# l-1]	LPM (0.512-1.02 mm) [# l-1]	LPM (1.02-2.05 mm) [# l-1]	LPM (2.05-4.1 mm) [# l-1]	LPM (4.1-8.19 mm) [# l-1]	LPM (8.19-16.4 mm) [# l-1]	LPM (>16.4 mm) [# l-1]	LPM biovolume (1-2 µm) [mm3 l-1]	LPM biovolume (2-4 µm) [mm3 l-1]	LPM biovolume (4-8 µm) [mm3 l-1]	LPM biovolume (8-16 µm) [mm3 l-1]	LPM biovolume (16-32 µm) [mm3 l-1]	LPM biovolume (32-64 µm) [mm3 l-1]	LPM biovolume (64-128 µm) [mm3 l-1]	LPM biovolume (128-256 µm) [mm3 l-1]	LPM biovolume (256-512 µm) [mm3 l-1]	LPM biovolume (0.512-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-16.4 mm) [mm3 l-1]	LPM biovolume (>16.4 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
lambdasample03	HDRlambdasample03_UVPSN_DEPTH_LPM.txt	2019-11-21 03:00:02	2.5	3.39	0.0	0.0	0.0	0.0	0.0	424.7787610619469	21.238938053097343	64.0117994100295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
lambdasample03	HDRlambdasample03_UVPSN_DEPTH_LPM.txt	2019-11-21 03:01:05	7.5	3.39	0.0	0.0	0.0	0.0	0.0	423.0088495575221	20.353982300884955	62.83185840707964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
lambdasample03	HDRlambdasample03_UVPSN_DEPTH_LPM.txt	2019-11-21 03:02:08	12.5	3.39	0.0	0.0	0.0	0.0	0.0	421.82890855457225	19.764011799410028	62.24188790560472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
lambdasample03	HDRlambdasample03_UVPSN_DEPTH_LPM.txt	2019-11-21 03:03:11	17.5	3.39	0.0	0.0	0.0	0.0	0.0	420.05899705014747	18.87905604719764	61.35693215339233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
lambdasample03	HDRlambdasample03_UVPSN_DEPTH_LPM.txt	2019-11-21 03:04:14	22.5	3.39	0.0	0.0	0.0	0.0	0.0	418.87905604719765	18.289085545722713	60.7669616519174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
lambdasample03	HDRlambdasample03_UVPSN_DEPTH_LPM.txt	2019-11-21 03:05:17	27.5	3.39	0.0	0.0	0.0	0.0	0.0	417.6991150442478	17.699115044247787	60.176991150442475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
lambdasample03	HDRlambdasample03_UVPSN_DEPTH_LPM.txt	2019-11-21 03:06:20	32.5	3.39	0.0	0.0	0.0	0.0	0.0	415.929203539823	16.8141592920354	59.58702064896755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
lambdasample03	HDRlambdasample03_UVPSN_DEPTH_LPM.txt	2019-11-21 03:07:23	37.5	3.39	0.0	0.0	0.0	0.0	0.0	414.7492625368731	16.224188790560472	58.99705014749262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
lambdasample03	HDRlambdasample03_UVPSN_DEPTH_LPM.txt	2019-11-21 03:08:26	42.5	3.39	0.0	0.0	0.0	0.0	0.0	412.97935103244833	15.339233038348082	58.70206489675516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
lambdasample03	HDRlambdasample03_UVPSN_DEPTH_LPM.txt	2019-11-21 03:09:29	47.5	3.39	0.0	0.0	0.0	0.0	0.0	411.7994100294985	14.749262536873156	58.11209439528023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
