Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-2 µm) [# l-1]	LPM (2-4 µm) [# l-1]	LPM (4-8 µm) [# l-1]	LPM (8-16 µm) [# l-1]	LPM (16-32 µm) [# l-1]	LPM (32-64 µm) [# l-1]	LPM (64-128 µm) [# l-1]	LPM (128-256 µm) [# l-1]	LPM (256-512 µm) [# l-1]	LPM (0.512-1.02 mm) [# l-1]	LPM (1.02-2.05 mm) [# l-1]	LPM (2.05-4.1 mm) [# l-1]	LPM (4.1-8.19 mm) [# l-1]	LPM (8.19-16.4 mm) [# l-1]	LPM (>16.4 mm) [# l-1]	LPM biovolume (1-2 µm) [mm3 l-1]	LPM biovolume (2-4 µm) [mm3 l-1]	LPM biovolume (4-8 µm) [mm3 l-1]	LPM biovolume (8-16 µm) [mm3 l-1]	LPM biovolume (16-32 µm) [mm3 l-1]	LPM biovolume (32-64 µm) [mm3 l-1]	LPM biovolume (64-128 µm) [mm3 l-1]	LPM biovolume (128-256 µm) [mm3 l-1]	LPM biovolume (256-512 µm) [mm3 l-1]	LPM biovolume (0.512-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-16.4 mm) [mm3 l-1]	LPM biovolume (>16.4 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
uvpappsample02	HDR20191121020000	2019-11-21 02:00:00	2.5	2.26	0.0	0.0	0.0	0.0	0.0	637.1681415929204	31.85840707964602	96.01769911504425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0379838125327088	0.0102672407734673	0.246450212969557	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
uvpappsample02	HDR20191121020000	2019-11-21 02:01:03	7.5	2.26	0.0	0.0	0.0	0.0	0.0	634.5132743362832	30.530973451327437	94.24778761061948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0378018662656745	0.00975329520100671	0.242969594727315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.398975	4.36182575		7.436								15.134625	35.5134	7.5	0E-20		15.1358		89.757175						103.4365												
uvpappsample02	HDR20191121020000	2019-11-21 02:02:06	12.5	2.26	0.0	0.0	0.0	0.0	0.0	632.7433628318585	29.646017699115045	93.36283185840709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0376805687543183	0.00941066481936628	0.241577483028115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39632	4.3622166		11.8978								15.13584	35.51338	12.0	0E-20		15.13766		89.86446						50.6094												
uvpappsample02	HDR20191121020000	2019-11-21 02:03:09	17.5	2.26	0.0	0.0	0.0	0.0	0.0	630.0884955752213	28.31858407079646	92.0353982300885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0374986224872841	0.00889671924690564	0.239489315479315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.40528	4.3622014		16.8564								15.13262	35.51346	17.0	0E-20		15.13522		89.8051						23.6594												
uvpappsample02	HDR20191121020000	2019-11-21 02:04:12	22.5	2.26	0.0	0.0	0.0	0.0	0.0	628.3185840707965	27.433628318584073	91.15044247787611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0373773249759279	0.00855408886526521	0.238097203780115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.37274	4.3611598		21.8118								15.11946	35.51332	22.0	0E-20		15.1228		89.9946						11.01998												
uvpappsample02	HDR20191121020000	2019-11-21 02:05:15	27.5	2.26	0.0	0.0	0.0	0.0	0.0	626.5486725663717	26.548672566371685	90.26548672566372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0372560274645717	0.00821145848362478	0.236705092080914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33596	4.3582622		26.7698								15.08726	35.51382	27.0	0E-20		15.09138		90.32048						5.58576												
uvpappsample02	HDR20191121020000	2019-11-21 02:06:18	32.5	2.26	0.0	0.0	0.0	0.0	0.0	623.8938053097346	25.2212389380531	89.38053097345134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0370740811975374	0.00769751291116414	0.235312980381714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23012	4.3142092		31.7256								14.63788	35.52474	32.0	0E-20		14.64264		91.676						2.76758												
uvpappsample02	HDR20191121020000	2019-11-21 02:07:21	37.5	2.26	0.0	0.0	0.0	0.0	0.0	622.1238938053098	24.33628318584071	88.49557522123895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0369527836861813	0.00735488252952371	0.233920868682514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.569	4.1673104		36.682								13.13928	35.5451	37.0	0E-20		13.14438		96.06454						1.45746												
uvpappsample02	HDR20191121020000	2019-11-21 02:08:24	42.5	2.26	0.0	0.0	0.0	0.0	0.0	619.4690265486727	23.008849557522126	88.05309734513276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036770837419147	0.00684093695706307	0.233224812832914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3433	4.1510132		41.6402								12.96798	35.53406	42.0	0E-20		12.97374		97.45906						0.908782												
uvpappsample02	HDR20191121020000	2019-11-21 02:09:27	47.5	2.26	0.0	0.0	0.0	0.0	0.0	617.6991150442478	22.123893805309738	87.16814159292036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0366495399077908	0.00649830657542265	0.231832701133714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2036	4.131359		46.5986								12.78654	35.5115	47.0	0E-20		12.79296		98.2439						0.57636												
