profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude 	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename	Project
brusample01			My DO Name(doname@test.com)	HDR20191121010000	uvp5		2019-11-21 01:00:00	44.0905	7.576	0.0002	1.02	0.088	export_reduced_20210201_11_22_PAR_brusample01.tsv	export_reduced_20210201_11_22_ZOO_Aggregated.tsv	EcoPart TU Project UVP 5 pour load BRU
brusample02			My DO Name(doname@test.com)	HDR20191121020000	uvp5		2019-11-21 02:00:00	44.0905	7.576	0.0002	1.02	0.088	export_reduced_20210201_11_22_PAR_brusample02.tsv	no data available	EcoPart TU Project UVP 5 pour load BRU
brusample03			My DO Name(doname@test.com)	HDR20191121030000	uvp5		2019-11-21 03:00:00	44.0905	7.576	0.0002	1.02	0.088	export_reduced_20210201_11_22_PAR_brusample03.tsv	no data available	EcoPart TU Project UVP 5 pour load BRU
lambdasample01			My DO Name(doname@test.com)	HDRlambdasample01_UVPSN_DEPTH_LPM.txt	uvp6remote		2019-11-21 03:36:58	44.091	7.576	0.0002	1.02	73.0	export_reduced_20210201_11_22_PAR_lambdasample01.tsv	export_reduced_20210201_11_22_ZOO_Aggregated.tsv	EcoPart TU Project UVP Remote Lambda HTTP
lambdasample02			My DO Name(doname@test.com)	HDRlambdasample02_UVPSN_DEPTH_LPM.txt	uvp6remote		2019-11-21 04:36:59	44.091	7.576	0.0002	1.02	73.0	export_reduced_20210201_11_22_PAR_lambdasample02.tsv	no data available	EcoPart TU Project UVP Remote Lambda HTTP
lambdasample03			My DO Name(doname@test.com)	HDRlambdasample03_UVPSN_DEPTH_LPM.txt	uvp6remote		2019-11-21 05:37:00	44.09	7.576	0.0002	1.02	73.0	export_reduced_20210201_11_22_PAR_lambdasample03.tsv	no data available	EcoPart TU Project UVP Remote Lambda HTTP
lambdasampleT1			My DO Name(doname@test.com)	HDRlambdasampleT1_UVPSN_TIME_LPM.txt	uvp6remote		2019-11-21 07:00:06	44.091	7.576	0.0002	1.02	73.0	export_reduced_20210201_11_22_PAR_lambdasampleT1.tsv	export_reduced_20210201_11_22_ZOO_Aggregated.tsv	EcoPart TU Project UVP Remote Lambda HTTP
lambdasampleT2			My DO Name(doname@test.com)	HDRlambdasampleT2_UVPSN_TIME_LPM.txt	uvp6remote		2019-11-21 08:00:13	44.091	7.576	0.0002	1.02	73.0	export_reduced_20210201_11_22_PAR_lambdasampleT2.tsv	no data available	EcoPart TU Project UVP Remote Lambda HTTP
lambdasampleT3			My DO Name(doname@test.com)	HDRlambdasampleT3_UVPSN_TIME_LPM.txt	uvp6remote		2019-11-21 09:00:20	44.09	7.576	0.0002	1.02	73.0	export_reduced_20210201_11_22_PAR_lambdasampleT3.tsv	no data available	EcoPart TU Project UVP Remote Lambda HTTP
uvpappsample01			My DO Name(doname@test.com)	HDR20191121010000	uvp6		2019-11-21 01:00:00	44.0905	7.576	0.0002	1.02	0.088	export_reduced_20210201_11_22_PAR_uvpappsample01.tsv	export_reduced_20210201_11_22_ZOO_Aggregated.tsv	EcoPart TU Project UVP 6 from UVP APP
uvpappsample02			My DO Name(doname@test.com)	HDR20191121020000	uvp6		2019-11-21 02:00:00	44.0905	7.576	0.0002	1.02	0.088	export_reduced_20210201_11_22_PAR_uvpappsample02.tsv	no data available	EcoPart TU Project UVP 6 from UVP APP
uvpappsample03			My DO Name(doname@test.com)	HDR20191121030000	uvp6		2019-11-21 03:00:00	44.0905	7.576	0.0002	1.02	0.088	export_reduced_20210201_11_22_PAR_uvpappsample03.tsv	no data available	EcoPart TU Project UVP 6 from UVP APP
uvpappsampleT1			My DO Name(doname@test.com)	HDR20191121040000	uvp6		2019-11-21 04:00:00	44.0905	7.576	0.0002	1.02	0.088	export_reduced_20210201_11_22_PAR_uvpappsampleT1.tsv	export_reduced_20210201_11_22_ZOO_Aggregated.tsv	EcoPart TU Project UVP 6 from UVP APP
uvpappsampleT2			My DO Name(doname@test.com)	HDR20191121050000	uvp6		2019-11-21 05:00:00	44.0905	7.576	0.0002	1.02	0.088	export_reduced_20210201_11_22_PAR_uvpappsampleT2.tsv	no data available	EcoPart TU Project UVP 6 from UVP APP
uvpappsampleT3			My DO Name(doname@test.com)	HDR20191121060000	uvp6		2019-11-21 06:00:00	44.0905	7.576	0.0002	1.02	0.088	export_reduced_20210201_11_22_PAR_uvpappsampleT3.tsv	no data available	EcoPart TU Project UVP 6 from UVP APP
